census,ID,Site,Rep,Lat,Long,Elevation,Gradient,Microsite,Nutrient,swc,Phacelia.surv,Plantago.surv,Salvia.surv,Phacelia,Plantago,Salvia,abundance,richness,proportional,Phacelia.biomass,Plantago.biomass,Salvia.biomass,phyto.biomass,,
end,94,MojavePreserve,4,34.697983,-115.684098,784.833,5,shrub,Ambient,2.5,1,,,1,0,0,1,1,1,0.0689,,,0.0689,0.0689,
end,94,MojavePreserve,4,34.697983,-115.684098,784.833,5,open,Ambient,3.6,,0,0,0,0,0,0,0,0,,,,0,0,
end,95,MojavePreserve,5,34.697921,-115.684108,784.553,5,shrub,Added,1.4,1,,,0,0,2,2,1,0,0.1352,,,0.1352,0.1352,
end,95,MojavePreserve,5,34.697921,-115.684108,784.553,5,open,Added,3.6,,0,0,0,0,0,0,0,0,,,,0,0,
end,96,MojavePreserve,6,34.697944,-115.684324,784.263,5,shrub,Ambient,3.3,1,1,0,2,2,1,5,3,1.666666667,0.121,0.0179,,0.1389,0.1389,
end,96,MojavePreserve,6,34.697944,-115.684324,784.263,5,open,Ambient,3.3,0,0,,0,0,0,0,0,0,,,,0,0,
end,97,MojavePreserve,7,34.697886,-115.684317,784.366,5,shrub,Added,3,1,,0,1,0,0,1,1,1,0.4194,,,0.4194,0.4194,
end,97,MojavePreserve,7,34.697886,-115.684317,784.366,5,open,Added,2.8,0,,0,1,0,2,3,2,1.5,0.096,,,0.096,0.096,
end,98,MojavePreserve,8,34.697841,-115.68436,784.235,5,shrub,Ambient,2.8,0,0,0,0,0,0,0,0,0,,,,0,0,
end,98,MojavePreserve,8,34.697841,-115.68436,784.235,5,open,Ambient,1.7,1,0,0,6,0,0,6,1,6,,,0.0544,0.0544,0.0544,
end,99,MojavePreserve,9,34.697816,-115.684347,783.993,5,shrub,Added,2.1,0,,,0,0,0,0,0,0,,,,0,0,
end,99,MojavePreserve,9,34.697816,-115.684347,783.993,5,open,Added,3,1,0,0,1,1,0,2,2,1,0.0025,0.0099,,0.0124,0.0124,
end,100,MojavePreserve,10,34.697789,-115.684413,783.246,5,shrub,Ambient,3,1,1,,2,1,0,3,2,1.5,0.0092,0.0084,,0.0176,0.0176,
end,100,MojavePreserve,10,34.697789,-115.684413,783.246,5,open,Ambient,2.9,1,0,,5,0,0,5,1,5,0.0142,,,0.0142,0.0142,
end,101,MojavePreserve,11,34.697757,-115.684349,783.06,5,shrub,Added,2.2,1,,0,3,0,0,3,1,3,0.4948,,,0.4948,0.4948,
end,101,MojavePreserve,11,34.697757,-115.684349,783.06,5,open,Added,2.6,1,,1,4,1,7,12,3,4,0.2304,,0.098,0.3284,0.3284,
end,102,MojavePreserve,12,34.697715,-115.684375,783.041,5,shrub,Ambient,3,1,0,0,5,2,0,7,2,3.5,0.0811,0.0174,,0.0985,0,
end,102,MojavePreserve,12,34.697715,-115.684375,783.041,5,open,Ambient,3.6,0,1,,3,2,0,5,2,2.5,0.5178,0.0254,,0.5432,0,
end,103,MojavePreserve,13,34.697623,-115.684419,783.172,5,shrub,Added,3.6,1,,0,2,0,0,2,1,2,0.1256,,,0.1256,0.1256,
end,103,MojavePreserve,13,34.697623,-115.684419,783.172,5,open,Added,4,1,,1,3,0,6,9,2,4.5,0.1469,,0.1194,0.2663,0.2663,
end,104,MojavePreserve,14,34.697637,-115.684476,782.668,5,shrub,Ambient,3.5,0,1,0,4,1,0,5,2,2.5,0.0691,,,0.0691,0.0691,
end,104,MojavePreserve,14,34.697637,-115.684476,782.668,5,open,Ambient,3.9,,1,,0,4,0,4,1,4,,0.0034,,0.0034,0.0034,
end,105,MojavePreserve,15,34.697557,-115.684431,782.584,5,shrub,Added,2.4,,,,0,0,0,0,0,0,,,,0,0,
end,105,MojavePreserve,15,34.697557,-115.684431,782.584,5,open,Added,3,1,1,,3,2,1,6,3,2,0.0467,0.02923,,0.07593,0.07593,
end,106,MojavePreserve,16,34.697474,-115.684322,781.875,5,shrub,Ambient,2.4,0,0,0,0,0,0,0,0,0,,,,0,0,
end,106,MojavePreserve,16,34.697474,-115.684322,781.875,5,open,Ambient,2.6,0,0,0,0,0,0,0,0,0,,,,0,0,
end,107,MojavePreserve,17,34.697346,-115.684312,783.013,5,shrub,Added,2.4,1,1,0,1,1,0,2,2,1,0.0273,0.0458,,0.0731,0.0731,
end,107,MojavePreserve,17,34.697346,-115.684312,783.013,5,open,Added,2.6,0,0,0,0,0,0,0,0,0,,,,0,0,
end,108,MojavePreserve,18,34.697301,-115.684342,782.369,5,shrub,Ambient,2.7,1,,,2,0,0,2,1,2,0.5902,,,0.5902,0.5902,
end,108,MojavePreserve,18,34.697301,-115.684342,782.369,5,open,Ambient,3,1,0,0,4,0,0,4,1,4,0.0496,,,0.0496,0.0496,
end,109,MojavePreserve,19,34.697179,-115.684321,781.343,5,shrub,Added,2.9,1,0,,1,1,0,2,2,1,0.096,,,0.096,0.096,
end,109,MojavePreserve,19,34.697179,-115.684321,781.343,5,open,Added,2.4,1,1,1,5,3,5,13,3,4.333333333,0.515,0.0846,0.0573,0.6569,0.6569,
end,110,MojavePreserve,20,34.697142,-115.68429,781.082,5,shrub,Ambient,1.8,1,,,1,0,0,1,1,1,0.0124,,,0.0124,0,
end,110,MojavePreserve,20,34.697142,-115.68429,781.082,5,open,Ambient,1.8,0,0,0,0,0,0,0,0,0,,,,0,0,
end,111,MojavePreserve,21,34.69721298,-115.684176,770.780457,5,shrub,Added,3,0,,0,1,0,2,3,2,0,0.0287,,,0.0287,0.0287,
end,111,MojavePreserve,21,34.69721298,-115.684176,770.780457,5,open,Added,2,1,0,,1,0,0,1,1,1,0.1389,,,0.1389,0.1389,
end,112,MojavePreserve,22,34.69729101,-115.684086,770.967102,5,shrub,Ambient,2.2,1,1,,6,1,0,7,2,3.5,0.2847,,,0.2847,0.2847,
end,112,MojavePreserve,22,34.69729101,-115.684086,770.967102,5,open,Ambient,3,1,0,0,4,0,0,4,1,4,0.1324,,,0.1324,0,
end,113,MojavePreserve,23,34.69745203,-115.683817,773.934265,5,shrub,Added,3.2,1,1,,8,1,3,12,3,4,1.0634,,0.027,1.0904,1.0904,
end,113,MojavePreserve,23,34.69745203,-115.683817,773.934265,5,open,Added,2.9,0,1,0,0,2,0,2,1,2,,0.028,,0.028,0.028,
end,114,MojavePreserve,24,34.69748296,-115.683775,773.094482,5,shrub,Ambient,3.9,0,,0,0,0,0,0,0,0,,,,0,0,
end,114,MojavePreserve,24,34.69748296,-115.683775,773.094482,5,open,Ambient,3,,,,0,0,0,0,0,0,,,,0,0,
end,115,MojavePreserve,25,34.69747902,-115.683714,773.999573,5,shrub,Added,1.6,1,1,0,4,3,1,8,3,2.666666667,0.1642,0.0457,,0.2099,0.2099,
end,115,MojavePreserve,25,34.69747902,-115.683714,773.999573,5,open,Added,4.6,1,0,1,8,3,6,17,3,5.666666667,0.6708,0.1089,0.1245,0.9042,0.9042,
end,116,MojavePreserve,26,34.69754599,-115.68368,774.503418,5,shrub,Ambient,2.9,1,1,0,1,2,0,3,2,1.5,0.2735,0.1241,,0.3976,0,
end,116,MojavePreserve,26,34.69754599,-115.68368,774.503418,5,open,Ambient,2.3,1,1,0,1,3,0,4,2,2,0.2544,0.1987,,0.4531,0,
end,117,MojavePreserve,27,34.69761397,-115.683597,774.876648,5,shrub,Added,1.2,0,0,1,2,0,1,3,2,1.5,0.15,,,0.15,0.15,
end,117,MojavePreserve,27,34.69761397,-115.683597,774.876648,5,open,Added,2.8,,,,0,0,0,0,0,0,,,,0,0,
end,118,MojavePreserve,28,34.69764104,-115.683623,775.02594,5,shrub,Ambient,2.3,,1,0,0,1,0,1,1,1,0.2211,0.0391,,0.2602,0.2602,
end,118,MojavePreserve,28,34.69764104,-115.683623,775.02594,5,open,Ambient,1.7,,,,0,0,0,0,0,0,,,,0,0,
end,119,MojavePreserve,29,34.69768899,-115.683718,774.960632,5,shrub,Added,2,0,0,1,2,0,3,5,2,2.5,0.0641,,0.096,0.1601,0.1601,
end,119,MojavePreserve,29,34.69768899,-115.683718,774.960632,5,open,Added,2.6,,,,0,0,0,0,0,0,,,,0,0,
end,120,MojavePreserve,30,34.69771698,-115.683715,775.072571,5,shrub,Ambient,2.7,1,1,1,9,3,4,16,3,5.333333333,0.0557,0.1425,0.0622,0.2604,0.2604,
end,120,MojavePreserve,30,34.69771698,-115.683715,775.072571,5,open,Ambient,2.2,0,,0,1,1,0,2,2,1,0.0143,0.0044,,0.0187,0,
end,121,SheepholeValley,1,34.205676,-115.719676,545.92,6,shrub,Added,2.7,0,0,0,3,0,0,3,1,3,0.1103,,,0.1103,0.1103,
end,121,SheepholeValley,1,34.205676,-115.719676,545.92,6,open,Added,3.2,0,,,0,0,0,0,0,0,,,,0,0,
end,122,SheepholeValley,2,34.205739,-115.719518,546.573,6,shrub,Ambient,2.1,0,0,0,0,0,0,0,0,0,,,,0,0,
end,122,SheepholeValley,2,34.205739,-115.719518,546.573,6,open,Ambient,2.6,0,0,0,0,1,0,1,1,1,,0.0124,,0.0124,0,
end,123,SheepholeValley,3,34.205653,-115.719417,546.629,6,shrub,Added,2.8,,,0,0,0,0,0,0,0,,,,0,0,
end,123,SheepholeValley,3,34.205653,-115.719417,546.629,6,open,Added,2.1,0,,0,3,0,0,3,1,3,0.0418,,,0.0418,0.0418,
end,124,SheepholeValley,4,34.20559,-115.719219,546.247,6,shrub,Ambient,1.1,1,0,0,1,0,0,1,1,1,0.0164,,,0.0164,0,
end,124,SheepholeValley,4,34.20559,-115.719219,546.247,6,open,Ambient,2.6,1,1,0,1,1,0,2,2,1,0.0316,,,0.0316,0.0316,
end,125,SheepholeValley,5,34.205634,-115.719167,546.517,6,shrub,Added,2.4,,,,0,0,0,0,0,0,,,,0,0,
end,125,SheepholeValley,5,34.205634,-115.719167,546.517,6,open,Added,2,,0,,0,0,0,0,0,0,,,,0,0,
end,126,SheepholeValley,6,34.205581,-115.718991,546.293,6,shrub,Ambient,2.4,1,,0,1,0,2,3,2,1.5,0.0951,,,0.0951,0.0951,
end,126,SheepholeValley,6,34.205581,-115.718991,546.293,6,open,Ambient,2.4,,0,,0,0,0,0,0,0,,,,0,0,
end,127,SheepholeValley,7,34.205614,-115.718967,545.892,6,shrub,Added,1.3,0,,0,0,0,0,0,0,0,,,,0,0,
end,127,SheepholeValley,7,34.205614,-115.718967,545.892,6,open,Added,2.4,,0,0,0,0,0,0,0,0,,,,0,0,
end,128,SheepholeValley,8,34.205545,-115.718968,545.743,6,shrub,Ambient,2.2,0,0,,0,0,0,0,0,0,,,,0,0,
end,128,SheepholeValley,8,34.205545,-115.718968,545.743,6,open,Ambient,2.1,,0,0,0,0,0,0,0,0,,,,0,0,
end,129,SheepholeValley,9,34.20572,-115.71875,546.508,6,shrub,Added,2.2,0,,,0,0,0,0,0,0,,,,0,0,
end,129,SheepholeValley,9,34.20572,-115.71875,546.508,6,open,Added,2.1,0,0,0,0,0,0,0,0,0,,,,0,0,
end,130,SheepholeValley,10,34.205769,-115.718717,546.909,6,shrub,Ambient,2.6,,,,0,0,0,0,0,0,,,,0,0,
end,130,SheepholeValley,10,34.205769,-115.718717,546.909,6,open,Ambient,2.6,,,,0,0,0,0,0,0,,,,0,0,
end,131,SheepholeValley,11,34.205796,-115.718632,547.133,6,shrub,Added,2.8,,,,0,0,0,0,0,0,,,,0,0,
end,131,SheepholeValley,11,34.205796,-115.718632,547.133,6,open,Added,3.8,,,0,0,0,0,0,0,0,,,,0,0,
end,132,SheepholeValley,12,34.205945,-115.71861,547.889,6,shrub,Ambient,1.8,,,0,0,0,0,0,0,0,,,,0,0,
end,132,SheepholeValley,12,34.205945,-115.71861,547.889,6,open,Ambient,1.7,,,,0,0,0,0,0,0,,,,0,0,
end,133,SheepholeValley,13,34.20611,-115.718718,548.458,6,shrub,Added,1.9,,,,0,0,0,0,0,0,,,,0,0,
end,133,SheepholeValley,13,34.20611,-115.718718,548.458,6,open,Added,3,,,,0,0,0,0,0,0,,,,0,0,
end,134,SheepholeValley,14,34.206259,-115.718993,549.531,6,shrub,Ambient,2.4,,,,0,0,0,0,0,0,,,,0,0,
end,134,SheepholeValley,14,34.206259,-115.718993,549.531,6,open,Ambient,2.1,0,0,0,0,0,0,0,0,0,,,,0,0,
end,135,SheepholeValley,15,34.206319,-115.719174,550.007,6,shrub,Added,1.5,,,,0,0,0,0,0,0,,,,0,0,
end,135,SheepholeValley,15,34.206319,-115.719174,550.007,6,open,Added,3.6,,,,0,0,0,0,0,0,,,,0,0,
end,136,SheepholeValley,16,34.206313,-115.719359,550.38,6,shrub,Ambient,3.4,,0,,0,0,0,0,0,0,,,,0,0,
end,136,SheepholeValley,16,34.206313,-115.719359,550.38,6,open,Ambient,2,,0,,0,0,0,0,0,0,,,,0,0,
end,137,SheepholeValley,17,34.206284,-115.719578,549.942,6,shrub,Added,1.8,,,,0,0,0,0,0,0,,,,0,0,
end,137,SheepholeValley,17,34.206284,-115.719578,549.942,6,open,Added,2.6,,,,0,0,0,0,0,0,,,,0,0,
end,138,SheepholeValley,18,34.206254,-115.719625,550.156,6,shrub,Ambient,2.3,,,1,0,0,1,1,1,1,,,0.0444,0.0444,0.0444,
end,138,SheepholeValley,18,34.206254,-115.719625,550.156,6,open,Ambient,2.8,,,,0,0,0,0,0,0,,,,0,0,
end,139,SheepholeValley,19,34.206268,-115.719703,549.456,6,shrub,Added,2.9,0,,0,0,0,0,0,0,0,,,,0,0,
end,139,SheepholeValley,19,34.206268,-115.719703,549.456,6,open,Added,2.7,,0,,0,0,0,0,0,0,,,,0,0,
end,140,SheepholeValley,20,34.206183,-115.719774,549.195,6,shrub,Ambient,2.5,1,0,0,7,0,0,7,1,7,0.119,,,0.119,0.119,
end,140,SheepholeValley,20,34.206183,-115.719774,549.195,6,open,Ambient,2.6,0,1,0,0,2,1,3,2,1.5,,0.0912,0.0074,0.0986,0,
end,141,SheepholeValley,21,34.20649596,-115.719377,598.358582,6,shrub,Added,2,0,0,,0,0,0,0,0,0,,,,0,0,
end,141,SheepholeValley,21,34.20649596,-115.719377,598.358582,6,open,Added,2.4,0,,0,0,0,0,0,0,0,,,,0,0,
end,142,SheepholeValley,22,34.206516,-115.719238,597.864075,6,shrub,Ambient,1.6,0,0,1,0,0,1,1,1,1,,,0.0326,0.0326,0.0326,
end,142,SheepholeValley,22,34.206516,-115.719238,597.864075,6,open,Ambient,2.6,0,0,1,0,0,1,1,1,1,0.0542,,,0.0542,0,
end,143,SheepholeValley,23,34.20664097,-115.719077,599.412964,6,shrub,Added,2,0,0,0,0,0,0,0,0,0,,,,0,0,
end,143,SheepholeValley,23,34.20664097,-115.719077,599.412964,6,open,Added,2,,,,0,0,0,0,0,0,,,,0,0,
end,144,SheepholeValley,24,34.20678003,-115.71917,600.159424,6,shrub,Ambient,2.4,0,1,0,0,3,1,4,2,2,,0.0128,,0.0128,0.0128,
end,144,SheepholeValley,24,34.20678003,-115.71917,600.159424,6,open,Ambient,2.2,0,1,0,0,2,0,2,1,2,,0.0037,,0.0037,0.0037,
end,145,SheepholeValley,25,34.20663703,-115.719189,597.901428,6,shrub,Added,2,0,0,0,0,0,0,0,0,0,,,,0,0,
end,145,SheepholeValley,25,34.20663703,-115.719189,597.901428,6,open,Added,2.4,,,,0,0,0,0,0,0,,,,0,0,
end,146,SheepholeValley,26,34.206589,-115.719262,597.40686,6,shrub,Ambient,3.2,0,0,0,0,0,0,0,0,0,,,,0,0,
end,146,SheepholeValley,26,34.206589,-115.719262,597.40686,6,open,Ambient,2.9,,0,,0,0,0,0,0,0,,,,0,0,
end,147,SheepholeValley,27,34.20658599,-115.719494,595.820679,6,shrub,Added,1.6,,,,0,0,0,0,0,0,,,,0,0,
end,147,SheepholeValley,27,34.20658599,-115.719494,595.820679,6,open,Added,2.3,0,0,,0,0,0,0,0,0,,,,0,0,
end,148,SheepholeValley,28,34.20657601,-115.719791,595.410095,6,shrub,Ambient,2.4,,0,0,0,0,0,0,0,0,,,,0,0,
end,148,SheepholeValley,28,34.20657601,-115.719791,595.410095,6,open,Ambient,2.9,,0,,0,0,0,0,0,0,,,,0,0,
end,149,SheepholeValley,29,34.20655103,-115.719879,595.568726,6,shrub,Added,2.4,,,,0,0,0,0,0,0,,,,0,0,
end,149,SheepholeValley,29,34.20655103,-115.719879,595.568726,6,open,Added,3.4,0,,,0,0,0,0,0,0,,,,0,0,
end,150,SheepholeValley,30,34.20661398,-115.719893,596.343201,6,shrub,Ambient,1.9,,,,0,0,0,0,0,0,,,,0,0,
end,150,SheepholeValley,30,34.20661398,-115.719893,596.343201,6,open,Ambient,1.8,0,,,0,0,0,0,0,0,,,,0,0,
end,151,Tecopa,1,35.85151504,-116.186706,699.456665,7,shrub,Added,3.4,,,,0,2,0,2,1,2,,0.0125,,0.0125,0,
end,151,Tecopa,1,35.85151504,-116.186706,699.456665,7,open,Added,3.8,1,,0,3,1,0,4,2,2,0.0119,0.0025,,0.0143,0,
end,152,Tecopa,2,35.85144698,-116.186709,699.577942,7,shrub,Ambient,3.8,1,1,1,2,5,5,12,3,4,0.0246,0.0201,0.0173,0.062,0.062,
end,152,Tecopa,2,35.85144698,-116.186709,699.577942,7,open,Ambient,3.7,0,,0,0,0,3,3,1,3,,,0.1782,0.1782,0,
end,153,Tecopa,3,35.85141303,-116.186732,700.259094,7,shrub,Added,4.8,,,,0,0,0,0,0,0,,,,0,0,
end,153,Tecopa,3,35.85141303,-116.186732,700.259094,7,open,Added,3.6,,1,1,,2,1,3,2,1.5,,0.0377,0.0189,0.0566,0.0566,
end,154,Tecopa,4,35.85134204,-116.186611,700.893616,7,shrub,Ambient,3.8,,,,1,1,5,7,3,2.333333333,0.0564,,0.041,0.0974,0.0974,
end,154,Tecopa,4,35.85134204,-116.186611,700.893616,7,open,Ambient,0.7,,0,,0,0,0,0,0,0,,,,0,0,
end,155,Tecopa,5,35.85130398,-116.186551,700.147156,7,shrub,Added,5,1,,,3,2,4,9,3,3,0.0892,0.0063,,0.0955,0.0955,
end,155,Tecopa,5,35.85130398,-116.186551,700.147156,7,open,Added,4,0,,0,4,0,4,8,2,4,,,0.0204,0.0204,0.0204,
end,156,Tecopa,6,35.85127297,-116.186618,699.680603,7,shrub,Ambient,3.3,1,,0,5,0,4,9,2,4.5,0.0556,,0.0013,0.0569,0.0569,
end,156,Tecopa,6,35.85127297,-116.186618,699.680603,7,open,Ambient,3.7,,0,1,0,0,2,2,1,2,,,0.0274,0.0274,0,
end,157,Tecopa,7,35.85121002,-116.186577,700.753601,7,shrub,Added,3.8,0,,1,0,1,1,2,2,1,,0.0437,0.0128,0.0565,0.0565,
end,157,Tecopa,7,35.85121002,-116.186577,700.753601,7,open,Added,4.4,0,0,,0,0,0,0,0,0,,,,0,0,
end,158,Tecopa,8,35.851178,-116.186536,700.92157,7,shrub,Ambient,3,0,0,,0,1,2,3,2,1.5,,0.0173,,0.0173,0.0173,
end,158,Tecopa,8,35.851178,-116.186536,700.92157,7,open,Ambient,2.5,0,0,0,0,1,0,1,1,1,,0.0065,,0.0065,0,
end,159,Tecopa,9,35.85116702,-116.186409,702.209229,7,shrub,Added,3.6,,,0,0,1,0,1,1,1,,0.0088,,0.0088,0.0088,
end,159,Tecopa,9,35.85116702,-116.186409,702.209229,7,open,Added,3.2,0,0,0,0,0,1,1,1,1,,,0.016,0.016,0.016,
end,160,Tecopa,10,35.85126501,-116.186258,702.965027,7,shrub,Ambient,2.5,1,,1,2,0,8,10,2,5,,,0.0815,0.0815,0.0815,
end,160,Tecopa,10,35.85126501,-116.186258,702.965027,7,open,Ambient,4.6,1,0,1,1,0,2,3,2,1.5,0.0119,,,0.0119,0.0119,
end,161,Tecopa,11,35.85122896,-116.186248,702.806396,7,shrub,Added,3.6,0,1,,1,2,0,3,2,1.5,,0.0334,0.0228,0.0562,0.0562,
end,161,Tecopa,11,35.85122896,-116.186248,702.806396,7,open,Added,3.6,,,,0,0,0,0,0,0,,,,0,0,
end,162,Tecopa,12,35.85118303,-116.186279,704.103333,7,shrub,Ambient,2.8,,,1,0,0,3,3,1,3,,,0.0478,0.0478,0,
end,162,Tecopa,12,35.85118303,-116.186279,704.103333,7,open,Ambient,2.7,,,1,0,0,2,2,1,2,,,0.0237,0.0237,0,
end,163,Tecopa,13,35.85115202,-116.186355,704.373962,7,shrub,Added,3.2,,,,0,0,0,0,0,0,,,,0,0,
end,163,Tecopa,13,35.85115202,-116.186355,704.373962,7,open,Added,3.6,,,,0,0,0,0,0,0,,,,0,0,
end,164,Tecopa,14,35.85107901,-116.186469,705.465637,7,shrub,Ambient,3.6,,,,0,0,0,0,0,0,,,,0,0,
end,164,Tecopa,14,35.85107901,-116.186469,705.465637,7,open,Ambient,3.2,0,0,1,1,0,5,6,2,3,,,0.0486,0.0486,0.0486,
end,165,Tecopa,15,35.85107801,-116.186557,705.017761,7,shrub,Added,3,,,0,0,0,0,0,0,0,,,,0,0,
end,165,Tecopa,15,35.85107801,-116.186557,705.017761,7,open,Added,3.2,0,1,,0,2,0,2,1,2,,0.0136,,0.0136,0.0136,
end,166,Tecopa,16,35.85101699,-116.186626,706.52002,7,shrub,Ambient,4,0,,1,0,0,4,4,1,4,,,0.0958,0.0958,0.0958,
end,166,Tecopa,16,35.85101699,-116.186626,706.52002,7,open,Ambient,3.6,0,,,0,0,0,0,0,0,,,,0,0,
end,167,Tecopa,17,35.85115504,-116.186732,706.641296,7,shrub,Added,3,0,,,0,0,0,0,0,0,,,,0,0,
end,167,Tecopa,17,35.85115504,-116.186732,706.641296,7,open,Added,4,,,1,0,0,1,1,1,1,,,0.0067,0.0067,0.0067,
end,168,Tecopa,18,35.85123399,-116.186729,707.593018,7,shrub,Ambient,3.2,,,0,0,1,0,1,1,1,,0.0055,,0.0055,0.0055,
end,168,Tecopa,18,35.85123399,-116.186729,707.593018,7,open,Ambient,2.4,1,0,1,1,1,3,5,3,1.666666667,,,0.0663,0.0663,0.0663,
end,169,Tecopa,19,35.851236,-116.186802,707.658325,7,shrub,Added,3.7,,,,6,0,1,1,1,0,0.7025,0.2072,,0.9097,0.9097,
end,169,Tecopa,19,35.851236,-116.186802,707.658325,7,open,Added,3,0,,0,0,0,1,1,1,1,,,0.0298,0.0298,0,
end,170,Tecopa,20,35.85130499,-116.186857,445.727142,7,shrub,Ambient,3.4,0,0,1,0,2,4,6,2,3,,0.0087,0.0227,0.0314,0,
end,170,Tecopa,20,35.85130499,-116.186857,445.727142,7,open,Ambient,3,,,1,0,2,15,17,2,8.5,,,0.1859,0.1859,0.1859,
end,171,Tecopa,21,35.85133298,-116.186796,446.249664,7,shrub,Added,2.2,0,0,1,1,0,10,11,2,5.5,0.0089,,0.0457,0.0546,0.0546,
end,171,Tecopa,21,35.85133298,-116.186796,446.249664,7,open,Added,3.6,,0,0,0,2,3,5,2,2.5,,0.0114,0.021,0.0324,0,
end,172,Tecopa,22,35.85139702,-116.186855,447.173401,7,shrub,Ambient,3.1,1,0,1,1,6,6,13,3,4.333333333,0.057,,0.0119,0.0689,0.0689,
end,172,Tecopa,22,35.85139702,-116.186855,447.173401,7,open,Ambient,2.4,,,,0,0,2,2,1,2,,,0.045,0.045,0,
end,173,Tecopa,23,35.85144698,-116.186894,447.453339,7,shrub,Added,2.9,0,0,,0,0,0,0,0,0,,,,0,0,
end,173,Tecopa,23,35.85144698,-116.186894,447.453339,7,open,Added,3.4,,0,,0,2,0,2,1,2,,0.0214,,0.0214,0,
end,174,Tecopa,24,35.85145896,-116.186836,448.768951,7,shrub,Ambient,2.7,,1,0,0,1,0,1,1,1,,0.0342,,0.0342,0,
end,174,Tecopa,24,35.85145896,-116.186836,448.768951,7,open,Ambient,3,,0,1,0,0,5,5,1,5,,,0.0147,0.0147,0,
end,175,Tecopa,25,35.85150297,-116.186831,448.712982,7,shrub,Added,2.9,0,0,,0,0,0,0,0,0,,,,0,0,
end,175,Tecopa,25,35.85150297,-116.186831,448.712982,7,open,Added,3.4,0,,0,0,0,0,0,0,0,,,,0,0,
end,176,Tecopa,26,35.85151898,-116.186943,449.011566,7,shrub,Ambient,2.4,,,,1,0,5,6,2,3,0.0263,,0.0961,0.1224,0.1224,
end,176,Tecopa,26,35.85151898,-116.186943,449.011566,7,open,Ambient,2.9,,,,0,0,0,0,0,0,,,,0,0,
end,177,Tecopa,27,35.85147103,-116.186939,447.863892,7,shrub,Added,3.2,0,,0,0,0,0,0,0,0,,,,0,0,
end,177,Tecopa,27,35.85147103,-116.186939,447.863892,7,open,Added,2.4,0,,,0,0,0,0,0,0,,,,0,0,
end,178,Tecopa,28,35.85152702,-116.186952,449.020874,7,shrub,Ambient,3.3,,,1,0,0,2,2,1,2,,,0.0069,0.0069,0,
end,178,Tecopa,28,35.85152702,-116.186952,449.020874,7,open,Ambient,3,,,,0,0,0,0,0,0,,,,0,0,
end,179,Tecopa,29,35.85167698,-116.187015,448.918243,7,shrub,Added,3.3,0,0,,0,0,0,0,0,0,,,,0,0,
end,179,Tecopa,29,35.85167698,-116.187015,448.918243,7,open,Added,3,0,,0,0,0,0,0,0,0,,,,0,0,
end,180,Tecopa,30,35.85101,-116.18721,449.020874,7,shrub,Ambient,3.1,,,,0,0,0,0,0,0,,,,0,0,
end,180,Tecopa,30,35.85101,-116.18721,449.020874,7,open,Ambient,2.8,,0,0,0,0,0,0,0,0,,,,0,0,
end,181,TejonRanch,1,34.875994,-118.60246,1118.022,3,shrub,Added,0,0,,,0,0,1,1,1,1,,,0.0062,0.0062,0.0062,
end,181,TejonRanch,1,34.875994,-118.60246,1118.022,3,open,Added,0,,,,0,0,0,0,0,0,,,,0,0,
end,182,TejonRanch,2,34.875953,-118.602484,1118.05,3,shrub,Ambient,0,,,0,0,1,1,2,2,1,,0.0069,0.0355,0.0424,0.0424,
end,182,TejonRanch,2,34.875953,-118.602484,1118.05,3,open,Ambient,0,0,,0,0,0,2,2,1,2,,,0.0177,0.0177,0,
end,183,TejonRanch,3,34.875926,-118.602516,1117.63,3,shrub,Added,0,,,,0,0,4,4,1,4,,,0.2326,0.2326,0.2326,
end,183,TejonRanch,3,34.875926,-118.602516,1117.63,3,open,Added,0,,,,0,0,0,0,0,0,,,,0,0,
end,184,TejonRanch,4,34.875925,-118.602469,1117.509,3,shrub,Ambient,0,,,0,0,0,0,0,0,0,,,,0,0,
end,184,TejonRanch,4,34.875925,-118.602469,1117.509,3,open,Ambient,0,,,,0,0,0,0,0,0,,,,0,0,
end,185,TejonRanch,5,34.875889,-118.602501,1117.434,3,shrub,Added,0,,,1,0,0,7,7,1,7,,,1.2169,1.2169,1.2169,
end,185,TejonRanch,5,34.875889,-118.602501,1117.434,3,open,Added,0,,,1,2,0,2,4,2,2,,,0.1092,0.1092,0.1092,
end,186,TejonRanch,6,34.875843,-118.602494,1117.341,3,shrub,Ambient,0,,,0,0,0,5,5,1,5,,,0.0896,0.0896,0.0896,
end,186,TejonRanch,6,34.875843,-118.602494,1117.341,3,open,Ambient,0,,0,,0,0,0,0,0,0,,,,0,0,
end,187,TejonRanch,7,34.875829,-118.602447,1117.201,3,shrub,Added,0,,,,0,0,0,0,0,0,,,,0,0,
end,187,TejonRanch,7,34.875829,-118.602447,1117.201,3,open,Added,0,,,,0,0,0,0,0,0,,,,0,0,
end,188,TejonRanch,8,34.875822,-118.602389,1116.511,3,shrub,Ambient,0,,,,0,0,4,4,1,4,,,0.1385,0.1385,0.1385,
end,188,TejonRanch,8,34.875822,-118.602389,1116.511,3,open,Ambient,0,,,,0,0,0,0,0,0,,,,0,0,
end,189,TejonRanch,9,34.875737,-118.602331,1115.802,3,shrub,Added,0,1,0,,1,0,4,5,2,2.5,0.0503,,0.334,0.3843,0.3843,
